0,1,2,3,4,5,6,7,8,9,10
photo/film,rolls/buns,,,,,,,,,
herbs,pork,sugar,hard cheese,long life bakery product,,,,,,
beef,rolls/buns,butter,,,,,,,,
pork,other vegetables,,,,,,,,,
yogurt,berries,butter,pastry,,,,,,,
sausage,rolls/buns,,,,,,,,,
frankfurter,baking powder,condensed milk,coffee,,,,,,,
sausage,domestic eggs,,,,,,,,,
bottled water,tropical fruit,domestic eggs,,,,,,,,
whole milk,brown bread,,,,,,,,,
other vegetables,detergent,,,,,,,,,
frozen fish,tropical fruit,,,,,,,,,
margarine,long life bakery product,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
bottled water,liquor,,,,,,,,,
organic sausage,UHT-milk,,,,,,,,,
root vegetables,curd,,,,,,,,,
tropical fruit,pip fruit,herbs,yogurt,bottled water,sweet spreads,,,,,
whole milk,hamburger meat,beverages,bottled water,,,,,,,
soda,other vegetables,,,,,,,,,
soft cheese,yogurt,hard cheese,coffee,roll products ,,,,,,
frozen vegetables,bottled water,,,,,,,,,
yogurt,specialty vegetables,,,,,,,,,
sausage,bottled water,,,,,,,,,
whole milk,whole milk,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
chocolate,curd,salty snack,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
fish,canned beer,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
whole milk,chocolate,,,,,,,,,
sausage,root vegetables,bottled beer,butter,whole milk,newspapers,yogurt,,,,
citrus fruit,other vegetables,,,,,,,,,
napkins,specialty chocolate,other vegetables,,,,,,,,
pork,root vegetables,,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
soda,detergent,,,,,,,,,
frozen potato products,rolls/buns,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
pip fruit,cake bar,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
newspapers,grapes,onions,coffee,,,,,,,
misc. beverages,pastry,,,,,,,,,
beef,packaged fruit/vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,whole milk,,,,,,,,,
soda,white bread,chocolate,sugar,,,,,,,
pork,white bread,domestic eggs,,,,,,,,
chicken,margarine,,,,,,,,,
beverages,shopping bags,,,,,,,,,
chicken,other vegetables,,,,,,,,,
canned fish,yogurt,,,,,,,,,
meat,soda,,,,,,,,,
butter,rolls/buns,,,,,,,,,
sausage,pip fruit,hard cheese,frozen vegetables,,,,,,,
ham,specialty bar,,,,,,,,,
newspapers,soft cheese,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
roll products ,oil,UHT-milk,,,,,,,,
cream cheese ,shopping bags,,,,,,,,,
bottled beer,citrus fruit,frozen potato products,fruit/vegetable juice,sugar,sauces,,,,,
whipped/sour cream,fruit/vegetable juice,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
dog food,brown bread,salty snack,,,,,,,,
condensed milk,whole milk,other vegetables,soups,,,,,,,
citrus fruit,frozen meals,coffee,seasonal products,yogurt,soups,,,,,
beef,specialty chocolate,,,,,,,,,
white bread,spread cheese,,,,,,,,,
pork,domestic eggs,,,,,,,,,
female sanitary products,dishes,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
whole milk,specialty fat,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
tropical fruit,dessert,white bread,bottled water,,,,,,,
coffee,turkey,margarine,hard cheese,,,,,,,
frankfurter,liver loaf,canned vegetables,condensed milk,,,,,,,
herbs,root vegetables,,,,,,,,,
fruit/vegetable juice,long life bakery product,specialty cheese,,,,,,,,
berries,cat food,pip fruit,specialty bar,,,,,,,
salt,tropical fruit,newspapers,,,,,,,,
beef,root vegetables,butter milk,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
hamburger meat,frozen potato products,whole milk,citrus fruit,semi-finished bread,napkins,,,,,
root vegetables,sliced cheese,shopping bags,sliced cheese,,,,,,,
salty snack,root vegetables,,,,,,,,,
liver loaf,newspapers,white wine,,,,,,,,
margarine,detergent,yogurt,zwieback,,,,,,,
brown bread,onions,,,,,,,,,
pork,frozen meals,canned beer,,,,,,,,
jam,brown bread,yogurt,,,,,,,,
spread cheese,rolls/buns,,,,,,,,,
curd,light bulbs,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
beef,canned beer,,,,,,,,,
hamburger meat,tropical fruit,soda,,,,,,,,
whipped/sour cream,red/blush wine,,,,,,,,,
berries,canned fish,,,,,,,,,
pastry,bottled water,dishes,whole milk,canned beer,,,,,,
whole milk,butter,,,,,,,,,
citrus fruit,sparkling wine,bottled water,,,,,,,,
frankfurter,yogurt,waffles,,,,,,,,
rum,sugar,,,,,,,,,
tropical fruit,whole milk,chocolate,,,,,,,,
chicken,rolls/buns,other vegetables,margarine,,,,,,,
sausage,frankfurter,citrus fruit,bottled beer,soda,butter,oil,,,,
whole milk,soups,,,,,,,,,
pork,grapes,,,,,,,,,
root vegetables,pastry,soda,,,,,,,,
sausage,dessert,,,,,,,,,
tropical fruit,coffee,waffles,whipped/sour cream,,,,,,,
tropical fruit,pastry,salty snack,,,,,,,,
brown bread,long life bakery product,,,,,,,,,
citrus fruit,dog food,rolls/buns,soda,whole milk,fruit/vegetable juice,whipped/sour cream,yogurt,,,
soda,root vegetables,fruit/vegetable juice,,,,,,,,
other vegetables,yogurt,,,,,,,,,
other vegetables,newspapers,soda,,,,,,,,
soda,soda,oil,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
other vegetables,dessert,,,,,,,,,
chicken,whole milk,vinegar,shopping bags,,,,,,,
red/blush wine,instant coffee,,,,,,,,,
beef,frozen meals,pastry,white wine,whipped/sour cream,,,,,,
rolls/buns,whole milk,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
pip fruit,abrasive cleaner,,,,,,,,,
candy,whipped/sour cream,,,,,,,,,
frankfurter,pip fruit,meat,coffee,other vegetables,shopping bags,brown bread,curd,,,
citrus fruit,rolls/buns,,,,,,,,,
other vegetables,dessert,,,,,,,,,
packaged fruit/vegetables,beverages,,,,,,,,,
tropical fruit,pork,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
rolls/buns,beef,,,,,,,,,
curd,other vegetables,,,,,,,,,
tropical fruit,tropical fruit,napkins,,,,,,,,
bottled water,brown bread,,,,,,,,,
napkins,rolls/buns,,,,,,,,,
coffee,shopping bags,shopping bags,,,,,,,,
packaged fruit/vegetables,specialty cheese,margarine,margarine,,,,,,,
root vegetables,red/blush wine,salty snack,,,,,,,,
frankfurter,female sanitary products,,,,,,,,,
mayonnaise,pet care,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
waffles,sugar,,,,,,,,,
yogurt,sausage,domestic eggs,other vegetables,nut snack,shopping bags,,,,,
dish cleaner,pet care,,,,,,,,,
coffee,whole milk,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
pork,yogurt,,,,,,,,,
bottled beer,cream cheese ,chocolate,,,,,,,,
berries,curd,,,,,,,,,
beef,long life bakery product,,,,,,,,,
other vegetables,soft cheese,,,,,,,,,
other vegetables,canned beer,whole milk,,,,,,,,
beef,root vegetables,frozen potato products,butter,newspapers,,,,,,
sausage,frozen vegetables,,,,,,,,,
hard cheese,rolls/buns,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
frankfurter,beef,soda,rolls/buns,pastry,bottled water,ketchup,pastry,,,
citrus fruit,specialty chocolate,,,,,,,,,
ketchup,hard cheese,rolls/buns,,,,,,,,
male cosmetics,hard cheese,,,,,,,,,
meat,frozen potato products,,,,,,,,,
meat,pip fruit,yogurt,,,,,,,,
meat,rolls/buns,,,,,,,,,
whole milk,white bread,newspapers,,,,,,,,
chicken,soda,,,,,,,,,
pip fruit,frozen fish,cling film/bags,,,,,,,,
soda,soda,,,,,,,,,
beef,bottled water,,,,,,,,,
hygiene articles,canned fish,,,,,,,,,
margarine,dishes,,,,,,,,,
white bread,soda,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
whole milk,chocolate,,,,,,,,,
pasta,newspapers,,,,,,,,,
onions,whole milk,,,,,,,,,
other vegetables,coffee,,,,,,,,,
pip fruit,hygiene articles,domestic eggs,hard cheese,,,,,,,
margarine,whipped/sour cream,,,,,,,,,
chicken,other vegetables,,,,,,,,,
roll products ,sausage,prosecco,chocolate,,,,,,,
sausage,onions,,,,,,,,,
berries,tropical fruit,,,,,,,,,
whole milk,candy,,,,,,,,,
sausage,soda,cooking chocolate,roll products ,,,,,,,
fruit/vegetable juice,female sanitary products,,,,,,,,,
whole milk,chocolate,,,,,,,,,
sugar,berries,seasonal products,bottled beer,,,,,,,
bottled beer,canned beer,dish cleaner,,,,,,,,
curd cheese,newspapers,UHT-milk,,,,,,,,
bottled beer,berries,,,,,,,,,
citrus fruit,onions,salty snack,brown bread,,,,,,,
pork,root vegetables,,,,,,,,,
cream cheese ,brown bread,,,,,,,,,
sausage,brown bread,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
baking powder,root vegetables,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
other vegetables,bottled water,mustard,whole milk,root vegetables,pet care,,,,,
butter,hygiene articles,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
whole milk,curd cheese,root vegetables,pastry,,,,,,,
canned beer,cake bar,,,,,,,,,
hygiene articles,frozen dessert,,,,,,,,,
butter,candy,,,,,,,,,
hamburger meat,beef,bottled beer,whole milk,chocolate,,,,,,
whole milk,root vegetables,detergent,,,,,,,,
sausage,butter,,,,,,,,,
chicken,pork,newspapers,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
pork,tropical fruit,,,,,,,,,
yogurt,beef,,,,,,,,,
ham,beef,bottled water,citrus fruit,dishes,,,,,,
meat,citrus fruit,,,,,,,,,
shopping bags,other vegetables,canned vegetables,,,,,,,,
root vegetables,soda,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
white wine,rolls/buns,,,,,,,,,
root vegetables,soda,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
citrus fruit,yogurt,rolls/buns,,,,,,,,
napkins,butter,,,,,,,,,
hamburger meat,curd,,,,,,,,,
frankfurter,dishes,hygiene articles,,,,,,,,
whole milk,pot plants,domestic eggs,,,,,,,,
bottled water,pip fruit,frozen vegetables,,,,,,,,
soda,red/blush wine,,,,,,,,,
shopping bags,whole milk,domestic eggs,,,,,,,,
root vegetables,bottled water,,,,,,,,,
chewing gum,citrus fruit,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
margarine,rolls/buns,seasonal products,,,,,,,,
whole milk,bottled beer,,,,,,,,,
tropical fruit,soda,,,,,,,,,
whole milk,oil,,,,,,,,,
frozen vegetables,cream cheese ,,,,,,,,,
white bread,flour,,,,,,,,,
chocolate,dessert,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
sausage,sausage,tropical fruit,pip fruit,,,,,,,
whole milk,hair spray,waffles,,,,,,,,
rolls/buns,pip fruit,whole milk,yogurt,,,,,,,
pip fruit,yogurt,,,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
frozen vegetables,tropical fruit,,,,,,,,,
pet care,chocolate,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
napkins,cocoa drinks,shopping bags,,,,,,,,
rolls/buns,sausage,curd,whole milk,butter milk,margarine,white bread,yogurt,,,
whole milk,sausage,pet care,yogurt,,,,,,,
pip fruit,tropical fruit,waffles,root vegetables,,,,,,,
tropical fruit,berries,mayonnaise,,,,,,,,
butter,sauces,,,,,,,,,
chocolate,dessert,,,,,,,,,
packaged fruit/vegetables,rolls/buns,,,,,,,,,
beef,pastry,whole milk,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
specialty chocolate,liquor,,,,,,,,,
kitchen towels,bottled water,citrus fruit,butter,hygiene articles,,,,,,
UHT-milk,newspapers,salty snack,,,,,,,,
beverages,coffee,,,,,,,,,
yogurt,butter,,,,,,,,,
soda,other vegetables,dishes,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
bottled water,frankfurter,curd,butter milk,,,,,,,
beef,other vegetables,,,,,,,,,
chicken,specialty chocolate,,,,,,,,,
pork,whole milk,,,,,,,,,
curd,coffee,,,,,,,,,
whole milk,berries,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
cat food,soda,yogurt,margarine,,,,,,,
whole milk,beverages,,,,,,,,,
sausage,bottled beer,onions,other vegetables,soda,,,,,,
sausage,UHT-milk,,,,,,,,,
soda,pastry,,,,,,,,,
yogurt,soda,,,,,,,,,
tropical fruit,pork,UHT-milk,hamburger meat,,,,,,,
pip fruit,canned vegetables,,,,,,,,,
citrus fruit,cling film/bags,fruit/vegetable juice,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
sausage,yogurt,,,,,,,,,
dessert,butter,,,,,,,,,
dessert,pastry,hard cheese,candles,,,,,,,
soda,pastry,,,,,,,,,
other vegetables,sugar,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
pastry,whipped/sour cream,domestic eggs,,,,,,,,
white bread,bottled water,,,,,,,,,
liquor,newspapers,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
butter,bottled beer,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
whole milk,soda,mayonnaise,,,,,,,,
canned beer,canned fish,,,,,,,,,
frankfurter,ice cream,specialty cheese,coffee,,,,,,,
tropical fruit,butter,frozen fruits,,,,,,,,
detergent,salty snack,,,,,,,,,
sausage,soda,,,,,,,,,
salty snack,soda,oil,,,,,,,,
butter,candy,,,,,,,,,
baking powder,soda,beverages,,,,,,,,
citrus fruit,canned beer,hygiene articles,chicken,whole milk,napkins,white wine,UHT-milk,shopping bags,,
other vegetables,soda,pickled vegetables,,,,,,,,
sugar,UHT-milk,margarine,,,,,,,,
pork,tropical fruit,,,,,,,,,
pork,domestic eggs,,,,,,,,,
pastry,seasonal products,,,,,,,,,
finished products,canned fish,,,,,,,,,
bottled water,coffee,sugar,bottled water,,,,,,,
sausage,zwieback,jam,,,,,,,,
waffles,ketchup,candy,,,,,,,,
root vegetables,rolls/buns,UHT-milk,packaged fruit/vegetables,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
grapes,grapes,,,,,,,,,
canned fish,curd,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
bottled beer,oil,,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
margarine,frozen fruits,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
sausage,yogurt,baking powder,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,waffles,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
other vegetables,domestic eggs,long life bakery product,,,,,,,,
pet care,pastry,red/blush wine,,,,,,,,
chicken,coffee,,,,,,,,,
butter,curd,,,,,,,,,
canned vegetables,other vegetables,,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
canned beer,chocolate,,,,,,,,,
whole milk,semi-finished bread,,,,,,,,,
bottled water,frozen meals,,,,,,,,,
pastry,frozen potato products,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
domestic eggs,soda,,,,,,,,,
finished products,pip fruit,,,,,,,,,
whole milk,soda,,,,,,,,,
whole milk,pork,,,,,,,,,
sausage,root vegetables,,,,,,,,,
cream,yogurt,,,,,,,,,
sausage,newspapers,soda,,,,,,,,
chicken,margarine,,,,,,,,,
frankfurter,canned beer,other vegetables,potato products,,,,,,,
whole milk,citrus fruit,,,,,,,,,
bottled water,cream cheese ,curd,,,,,,,,
other vegetables,other vegetables,dishes,,,,,,,,
soda,yogurt,,,,,,,,,
butter milk,specialty chocolate,,,,,,,,,
canned beer,grapes,UHT-milk,brown bread,,,,,,,
turkey,photo/film,mayonnaise,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
butter,pastry,other vegetables,other vegetables,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sliced cheese,pip fruit,,,,,,,,,
other vegetables,zwieback,,,,,,,,,
tropical fruit,soda,margarine,napkins,,,,,,,
dishes,tropical fruit,,,,,,,,,
UHT-milk,frozen vegetables,,,,,,,,,
dessert,curd,whole milk,bottled water,,,,,,,
packaged fruit/vegetables,canned beer,,,,,,,,,
whole milk,bottled water,,,,,,,,,
finished products,other vegetables,,,,,,,,,
other vegetables,white bread,detergent,,,,,,,,
soda,domestic eggs,,,,,,,,,
other vegetables,pip fruit,chocolate,,,,,,,,
sausage,spread cheese,,,,,,,,,
bottled water,whole milk,,,,,,,,,
curd,grapes,curd,shopping bags,,,,,,,
chicken,salty snack,,,,,,,,,
pastry,berries,,,,,,,,,
shopping bags,white bread,ice cream,,,,,,,,
white bread,mayonnaise,,,,,,,,,
root vegetables,rolls/buns,fruit/vegetable juice,,,,,,,,
sausage,frankfurter,napkins,soda,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
chicken,tropical fruit,waffles,whipped/sour cream,brown bread,,,,,,
yogurt,waffles,domestic eggs,,,,,,,,
sausage,bottled beer,,,,,,,,,
whole milk,ice cream,,,,,,,,,
canned beer,berries,bottled water,,,,,,,,
sausage,misc. beverages,,,,,,,,,
pork,coffee,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
sausage,curd,,,,,,,,,
butter milk,brown bread,,,,,,,,,
fruit/vegetable juice,salt,,,,,,,,,
yogurt,bottled beer,,,,,,,,,
condensed milk,bottled water,bottled beer,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
detergent,tropical fruit,soda,margarine,,,,,,,
onions,rum,,,,,,,,,
bottled water,butter milk,,,,,,,,,
sliced cheese,napkins,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
rolls/buns,sugar,butter,,,,,,,,
onions,sauces,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
chicken,canned beer,frozen vegetables,whipped/sour cream,,,,,,,
root vegetables,chicken,,,,,,,,,
sliced cheese,bottled water,,,,,,,,,
soda,brown bread,,,,,,,,,
root vegetables,coffee,,,,,,,,,
grapes,frozen meals,flower (seeds),,,,,,,,
beef,pip fruit,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
frozen meals,soda,,,,,,,,,
pork,frozen vegetables,,,,,,,,,
rolls/buns,cereals,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
misc. beverages,oil,,,,,,,,,
pork,beverages,dishes,,,,,,,,
fruit/vegetable juice,flower (seeds),,,,,,,,,
whole milk,frozen vegetables,bottled beer,specialty cheese,chewing gum,,,,,,
chocolate,UHT-milk,sliced cheese,,,,,,,,
brown bread,whole milk,spread cheese,butter,fruit/vegetable juice,,,,,,
frozen potato products,soda,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
rolls/buns,yogurt,napkins,,,,,,,,
tropical fruit,ice cream,newspapers,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
salty snack,white wine,,,,,,,,,
hamburger meat,soda,,,,,,,,,
rolls/buns,seasonal products,margarine,,,,,,,,
whole milk,beef,,,,,,,,,
coffee,whipped/sour cream,,,,,,,,,
frozen potato products,bottled beer,,,,,,,,,
hard cheese,soda,,,,,,,,,
meat spreads,hard cheese,frozen vegetables,butter,,,,,,,
rolls/buns,canned vegetables,cat food,,,,,,,,
chicken,rolls/buns,pip fruit,pastry,frozen meals,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
chocolate,mustard,rolls/buns,,,,,,,,
other vegetables,tropical fruit,sweet spreads,,,,,,,,
other vegetables,other vegetables,pip fruit,specialty bar,,,,,,,
onions,chicken,,,,,,,,,
grapes,curd,,,,,,,,,
candy,soda,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
meat,tropical fruit,whipped/sour cream,,,,,,,,
red/blush wine,frozen fish,,,,,,,,,
pork,rolls/buns,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
ham,tropical fruit,,,,,,,,,
sausage,pastry,,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
napkins,photo/film,dessert,,,,,,,,
sausage,pastry,coffee,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
soda,candy,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
soft cheese,bottled water,,,,,,,,,
yogurt,coffee,,,,,,,,,
soda,sliced cheese,butter,,,,,,,,
sliced cheese,pudding powder,,,,,,,,,
chicken,bottled water,,,,,,,,,
rolls/buns,citrus fruit,snack products,,,,,,,,
tropical fruit,dessert,,,,,,,,,
citrus fruit,berries,,,,,,,,,
fruit/vegetable juice,coffee,,,,,,,,,
other vegetables,ice cream,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
ham,tropical fruit,frozen meals,sparkling wine,,,,,,,
sausage,chicken,,,,,,,,,
jam,house keeping products,,,,,,,,,
root vegetables,whole milk,meat,other vegetables,dog food,bottled water,domestic eggs,,,,
kitchen towels,margarine,,,,,,,,,
sausage,tropical fruit,rolls/buns,,,,,,,,
specialty bar,soda,,,,,,,,,
ice cream,UHT-milk,,,,,,,,,
tropical fruit,frozen fish,,,,,,,,,
dessert,condensed milk,rolls/buns,shopping bags,,,,,,,
newspapers,chocolate,,,,,,,,,
whole milk,newspapers,,,,,,,,,
citrus fruit,beef,,,,,,,,,
butter,domestic eggs,bottled water,curd,,,,,,,
potato products,pip fruit,,,,,,,,,
pork,whole milk,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
whole milk,root vegetables,newspapers,,,,,,,,
soda,misc. beverages,,,,,,,,,
ham,curd,,,,,,,,,
yogurt,other vegetables,soft cheese,salt,,,,,,,
whole milk,chocolate marshmallow,,,,,,,,,
soda,pip fruit,sugar,brown bread,,,,,,,
sausage,canned vegetables,margarine,,,,,,,,
fruit/vegetable juice,hamburger meat,soft cheese,specialty chocolate,bottled water,,,,,,
beef,domestic eggs,,,,,,,,,
sausage,whole milk,,,,,,,,,
oil,soda,waffles,,,,,,,,
other vegetables,meat spreads,,,,,,,,,
chicken,sausage,domestic eggs,pasta,,,,,,,
pip fruit,newspapers,,,,,,,,,
chicken,whisky,,,,,,,,,
finished products,whole milk,baking powder,,,,,,,,
instant coffee,sparkling wine,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
brown bread,whole milk,white bread,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
sausage,pip fruit,,,,,,,,,
pastry,liquor (appetizer),sliced cheese,,,,,,,,
chicken,finished products,meat,fruit/vegetable juice,,,,,,,
coffee,brown bread,,,,,,,,,
onions,bottled beer,,,,,,,,,
rolls/buns,white bread,,,,,,,,,
sausage,beef,white wine,other vegetables,,,,,,,
citrus fruit,bottled beer,butter milk,,,,,,,,
salty snack,chewing gum,,,,,,,,,
frozen meals,cake bar,,,,,,,,,
brown bread,curd,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
butter milk,soda,rolls/buns,,,,,,,,
frozen vegetables,rolls/buns,cling film/bags,,,,,,,,
whole milk,yogurt,long life bakery product,,,,,,,,
UHT-milk,pip fruit,specialty chocolate,chewing gum,canned fruit,,,,,,
pastry,liqueur,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
pastry,citrus fruit,,,,,,,,,
chicken,citrus fruit,,,,,,,,,
frozen meals,butter,newspapers,yogurt,,,,,,,
brown bread,yogurt,,,,,,,,,
yogurt,citrus fruit,pastry,,,,,,,,
meat,sausage,cake bar,root vegetables,,,,,,,
bottled beer,white bread,,,,,,,,,
frankfurter,white wine,,,,,,,,,
frankfurter,syrup,,,,,,,,,
cream cheese ,beverages,,,,,,,,,
ham,female sanitary products,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
shopping bags,rice,,,,,,,,,
white bread,canned fish,,,,,,,,,
root vegetables,specialty cheese,,,,,,,,,
rolls/buns,oil,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
domestic eggs,ham,,,,,,,,,
chicken,cling film/bags,,,,,,,,,
pastry,whole milk,,,,,,,,,
turkey,frozen dessert,shopping bags,,,,,,,,
pip fruit,cat food,,,,,,,,,
oil,shopping bags,,,,,,,,,
pet care,snack products,,,,,,,,,
misc. beverages,white bread,,,,,,,,,
brown bread,skin care,whipped/sour cream,,,,,,,,
root vegetables,pork,soda,coffee,pastry,,,,,,
long life bakery product,curd,pot plants,soda,,,,,,,
citrus fruit,yogurt,,,,,,,,,
hamburger meat,white bread,,,,,,,,,
grapes,coffee,,,,,,,,,
soda,bottled beer,baking powder,,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
herbs,chocolate,,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
soda,seasonal products,,,,,,,,,
root vegetables,white bread,meat spreads,,,,,,,,
artif. sweetener,sugar,,,,,,,,,
bottled beer,pastry,,,,,,,,,
soda,other vegetables,,,,,,,,,
pip fruit,other vegetables,whole milk,whipped/sour cream,,,,,,,
cream cheese ,yogurt,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
hamburger meat,citrus fruit,whole milk,specialty bar,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
beverages,UHT-milk,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
bottled beer,tropical fruit,yogurt,berries,,,,,,,
specialty fat,other vegetables,white wine,,,,,,,,
pet care,pastry,,,,,,,,,
whole milk,sausage,whole milk,yogurt,cake bar,female sanitary products,soda,,,,
chicken,whole milk,,,,,,,,,
root vegetables,herbs,cereals,,,,,,,,
citrus fruit,margarine,sliced cheese,,,,,,,,
root vegetables,butter milk,shopping bags,cream cheese ,,,,,,,
pork,root vegetables,rolls/buns,,,,,,,,
citrus fruit,tropical fruit,root vegetables,soda,,,,,,,
whole milk,rolls/buns,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
rolls/buns,soft cheese,,,,,,,,,
sausage,shopping bags,shopping bags,,,,,,,,
newspapers,hard cheese,,,,,,,,,
sausage,pork,,,,,,,,,
specialty bar,other vegetables,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
brown bread,canned beer,,,,,,,,,
waffles,whipped/sour cream,soda,,,,,,,,
soda,waffles,,,,,,,,,
curd,grapes,soups,whole milk,,,,,,,
margarine,whole milk,,,,,,,,,
butter,dessert,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
coffee,root vegetables,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
sausage,root vegetables,,,,,,,,,
citrus fruit,soda,coffee,,,,,,,,
meat,citrus fruit,,,,,,,,,
citrus fruit,candy,,,,,,,,,
butter milk,whole milk,white bread,rolls/buns,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
beef,rolls/buns,,,,,,,,,
pork,whole milk,,,,,,,,,
tropical fruit,root vegetables,pip fruit,butter milk,waffles,bottled beer,,,,,
whole milk,soda,bottled water,pastry,,,,,,,
pip fruit,sliced cheese,fruit/vegetable juice,,,,,,,,
whole milk,condensed milk,,,,,,,,,
sliced cheese,root vegetables,,,,,,,,,
dish cleaner,whole milk,frozen vegetables,waffles,,,,,,,
yogurt,bathroom cleaner,,,,,,,,,
citrus fruit,baking powder,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
sausage,brown bread,,,,,,,,,
other vegetables,curd,,,,,,,,,
root vegetables,other vegetables,whipped/sour cream,sweet spreads,,,,,,,
meat,root vegetables,,,,,,,,,
